id,year,author,title,abstract,library,search_term,url
09-Kraus-Multi-core,2009,"Johann M. Kraus, Hans A. Kestler",Multi-core parallelization in Clojure: a case study,"In recent years, the demand for computational power in data mining applications has increased due to rapidly growing data sets. As a consequence, standard algorithms need to be parallelized for fast processing of the generated data sets. Unfortunately, most approaches for parallelizing algorithms require a careful software design and a deep knowledge about thread-safe programming. As a consequence they are hardly applicable for rapid prototyping of new algorithms. We outline the process of multi-core parallelization using Clojure, a new functional programming language utilizing the Java Virtual Machine (JVM) that does not require knowledge of thread-safe programming. We provide some benchmark results for our multi-core algorithm to demonstrate its computational power. The rationale behind Clojure is combining the industry-standard JVM with functional programming, immutable data structures, and a built-in concurrency support via software transactional memory. This makes it a suitable tool for parallelization and rapid prototyping in many areas. In this case study we present a multi-core parallel implementation of the k-means cluster algorithm. The multi-core algorithm shows an increase in computation speed up to a factor of 10 compared to R or network based parallelization.",ELW '09: Proceedings of the 6th European Lisp Workshop,clojure,http://dl.acm.org/ft_gateway.cfm?id=1562870&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441
13-Dhiman-Clojure:,2013,"Karan Dhiman, Maxim Mai, Jay Soni, Kyle Lam, Sang-Ah Han","Clojure: modular programming with functional, concurrent language on the JVM","Clojure: Modular Programming with Functional, Concurrent Language on the JVM The complexity of software demands well structured architecture. Structure in software in quintessential for writing good code which is easy to debug and extend. Well structured ...",CASCON '13: Proceedings of the 2013 Conference of the Center for Advanced Studies on Collaborative Research,clojure,
10-Bedra-Clojure,2010,Aaron Bedra,Clojure Tutorial,In this tutorial you will spend some time learning about what clojure has to offer and build an application that solves a real world problem. In this tutorial pair programming is welcome and encouraged! Bring a friend to help you work through the exercises ...,CUFP '10: SIGPLAN Commercial Users of Functional Programming,clojure,
08-Hickey-The,2008,Rich Hickey,The Clojure programming language,"Customers and stakeholders have substantial investments in, and are comfortable with the performance, security and stability of, industry-standard platforms like the JVM and CLR. While Java and C# developers on those platforms may envy the succinctness, ...",DLS '08: Proceedings of the 2008 symposium on Dynamic languages,clojure,
10-Fogus-Naïveté,2010,Michael Fogus,"Naïveté vs. experience: or, how we thought we could use Scala and Clojure, and how we actually did","This talk will discuss the use of Scala and Clojure in an ongoing software project, now 2-years old. The talk will start with an anecdote about how each language was pitched to the software team composed of programmers with very little to no prior experience with functional programming. The actual Scala pitch will be dissected and criticized and then distilled into a few general thoughts on how to make an effective functional language pitch. With these tangential matters out of the way, a description of the difficulties ramping up to the full use of Scala will be discussed, followed by a simplified description of the system developed. The talk will briefly cover the conceptual hurdles that the team experienced when changing from a purely object-oriented mindset to a more functional approach. Additionally, the talk will focus on how Clojure was used for ancillary functionality and tooling. The difficulties experienced, both technical and cultural, in introducing Clojure into the mainline source will then be covered. To wind down, the advantages and disadvantages, both real and perceived, between the use of both languages in a commercial setting will be explored. Finally, the lessons learned after 2 years will be contrasted with the initial pitch to see where experience and naïveté intersected.",CUFP '10: SIGPLAN Commercial Users of Functional Programming,clojure,http://dl.acm.org/ft_gateway.cfm?id=1900172&type=mov&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441
13-Li-JVM-hosted,2013,"Wing Hang Li, David R. White, Jeremy Singer","JVM-hosted languages: they talk the talk, but do they walk the walk?","The rapid adoption of non-Java JVM languages is impressive: major international corporations are staking critical parts of their software infrastructure on components built from languages such as Scala and Clojure. However with the possible exception of Scala, there has been little academic consideration and characterization of these languages to date. In this paper, we examine four non-Java JVM languages and use exploratory data analysis techniques to investigate differences in their dynamic behavior compared to Java. We analyse a variety of programs and levels of behavior to draw distinctions between the different programming languages. We briefly discuss the implications of our findings for improving the performance of JIT compilation and garbage collection on the JVM platform.","PPPJ '13: Proceedings of the 2013 International Conference on Principles and Practices of Programming on the Java Platform: Virtual Machines, Languages, and Tools",clojure,http://dl.acm.org/ft_gateway.cfm?id=2500838&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441
12-Kovanovic-Highway:,2012,"Vitomir Kovanovic, Dragan Djuric",Highway: a domain specific language for enterprise application integration,"Highway is a domain-specific language for implementing enterprise application integration solutions in a technology independent and functional manner. As an internal DSL developed on top of Clojure programming language, Highway uses functional programming techniques in order to simplify enterprise application integration development. In this paper we focus on abstractions and language constructs that define Highway's approach to integration. We also cover implementation of enterprise integration patterns using Highway since they represent various common situations in enterprise application integration development.",ISEC '12: Proceedings of the 5th India Software Engineering Conference,clojure,http://dl.acm.org/ft_gateway.cfm?id=2134259&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441
12-Yeboah-Antwi-Evolving,2012,Kwaku Yeboah-Antwi,Evolving software applications using genetic programming -- PushCalc: the evolved calculator,"This paper describes PushCalc, a system that evolves a Calculator, a complete software application. PushCalc is a modified version of Clojush, the clojure implementation of the PushGP genetic programming system1. PushCalc supports the definition and storage of names and functions via its naming mechanism, tags. The goal of this system is to utilise this ability to evolve an individual that can create the modular parts of the calculator and also know when and in what situations to use which modular functions and perform the correct operations depending on the input given to the system.",GECCO Companion '12: Proceedings of the fourteenth international conference on Genetic and evolutionary computation conference companion,clojure,http://dl.acm.org/ft_gateway.cfm?id=2330875&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441
13-Roemers-An,2013,"Arnout Roemers, Kardelen Hatun, Christoph Bockisch","An adapter-aware, non-intrusive dependency injection framework for Java","In strongly typed Object-Oriented Programming languages, it is common to encounter type incompatibilities between separately developed software components one desires to compose. Using the Adapter pattern to overcome these type incompatibilities is only an option if changing the source code of the software components is feasible, as references from objects to other objects are oftentimes hard-coded. The concept of Dependency Injection (DI) is aimed at mitigating the issue of hard-coded references. However, current implementations of DI are intrusive in ways that component developers need to foresee future use cases. To increase the reusability of components we propose an approach and a tool to configure interoperations between components externally, without the need for intrusive code changes. This approach is based on a new dependency injection mechanism that is combined with the Adapter pattern. If necessary, the most appropriate adapter to inject is selected automatically, thereby making the specifications of dependency injection very flexible.","PPPJ '13: Proceedings of the 2013 International Conference on Principles and Practices of Programming on the Java Platform: Virtual Machines, Languages, and Tools",clojure,http://dl.acm.org/ft_gateway.cfm?id=2500834&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441
10-Rytz-Named,2010,"Lukas Rytz, Martin Odersky",Named and default arguments for polymorphic object-oriented languages: a discussion on the design implemented in the Scala language,This article describes the design and implementation of named and default arguments in the Scala programming language. While these features are available in many other languages there are significant differences in the actual implementations. We present a design that unifies the most reasonable properties for an object-oriented language and provides new possibilities by allowing default arguments on generic and implicit parameters. We also present a solution for the problem of writing a lightweight generic update function for algebraic datatypes.,SAC '10: Proceedings of the 2010 ACM Symposium on Applied Computing,clojure,http://dl.acm.org/ft_gateway.cfm?id=1774529&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441
