id,year,author,title,abstract,library,search_term,url,Status,Comments
13-Dhiman-Clojure:,2013,"Karan Dhiman, Maxim Mai, Jay Soni, Kyle Lam, Sang-Ah Han","Clojure: modular programming with functional, concurrent language on the JVM","Clojure: Modular Programming with Functional, Concurrent Language on the JVM The complexity of software demands well structured architecture. Structure in software in quintessential for writing good code which is easy to debug and extend. Well structured ...",CASCON '13: Proceedings of the 2013 Conference of the Center for Advanced Studies on Collaborative Research,clojure,,Accepted,comment
10-Bedra-Clojure,2010,Aaron Bedra,Clojure Tutorial,In this tutorial you will spend some time learning about what clojure has to offer and build an application that solves a real world problem. In this tutorial pair programming is welcome and encouraged! Bring a friend to help you work through the exercises ...,CUFP '10: SIGPLAN Commercial Users of Functional Programming,clojure,,Rejected,comment
08-Hickey-The,2008,Rich Hickey,The Clojure programming language,"Customers and stakeholders have substantial investments in, and are comfortable with the performance, security and stability of, industry-standard platforms like the JVM and CLR. While Java and C# developers on those platforms may envy the succinctness, ...",DLS '08: Proceedings of the 2008 symposium on Dynamic languages,clojure,,Borderline,comment
10-Fogus-Naïveté,2010,Michael Fogus,"Naïveté vs. experience: or, how we thought we could use Scala and Clojure, and how we actually did","This talk will discuss the use of Scala and Clojure in an ongoing software project, now 2-years old. The talk will start with an anecdote about how each language was pitched to the software team composed of programmers with very little to no prior experience ...",CUFP '10: SIGPLAN Commercial Users of Functional Programming,clojure,http://dl.acm.org/ft_gateway.cfm?id=1900172&type=mov&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
13-Li-JVM-hosted,2013,"Wing Hang Li, David R. White, Jeremy Singer","JVM-hosted languages: they talk the talk, but do they walk the walk?","The rapid adoption of non-Java JVM languages is impressive: major international corporations are staking critical parts of their software infrastructure on components built from languages such as Scala and Clojure. However with the possible exception ... Keywords: JVM bytecode, Java virtual machine, dynamic analysis","PPPJ '13: Proceedings of the 2013 International Conference on Principles and Practices of Programming on the Java Platform: Virtual Machines, Languages, and Tools",clojure,http://dl.acm.org/ft_gateway.cfm?id=2500838&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
12-Kovanovic-Highway:,2012,"Vitomir Kovanovic, Dragan Djuric",Highway: a domain specific language for enterprise application integration,"Highway is a domain-specific language for implementing enterprise application integration solutions in a technology independent and functional manner. As an internal DSL developed on top of Clojure programming language, Highway uses functional programming ... Keywords: domain specific language, enterprise application integration, highway",ISEC '12: Proceedings of the 5th India Software Engineering Conference,clojure,http://dl.acm.org/ft_gateway.cfm?id=2134259&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
12-Yeboah-Antwi-Evolving,2012,Kwaku Yeboah-Antwi,Evolving software applications using genetic programming -- PushCalc: the evolved calculator,"This paper describes PushCalc, a system that evolves a Calculator, a complete software application. PushCalc is a modified version of Clojush, the clojure implementation of the PushGP genetic programming system1. PushCalc supports the definition and ... Keywords: dynamically scaling genetic oper- ator usage, evolving software applications, gecco proceedings, genetic programming, variable point size system",GECCO Companion '12: Proceedings of the fourteenth international conference on Genetic and evolutionary computation conference companion,clojure,http://dl.acm.org/ft_gateway.cfm?id=2330875&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
13-Roemers-An,2013,"Arnout Roemers, Kardelen Hatun, Christoph Bockisch","An adapter-aware, non-intrusive dependency injection framework for Java","In strongly typed Object-Oriented Programming languages, it is common to encounter type incompatibilities between separately developed software components one desires to compose. Using the Adapter pattern to overcome these type incompatibilities is only ... Keywords: adapter pattern, dependency injection, reusability, software composition","PPPJ '13: Proceedings of the 2013 International Conference on Principles and Practices of Programming on the Java Platform: Virtual Machines, Languages, and Tools",clojure,http://dl.acm.org/ft_gateway.cfm?id=2500834&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
10-Rytz-Named,2010,"Lukas Rytz, Martin Odersky",Named and default arguments for polymorphic object-oriented languages: a discussion on the design implemented in the Scala language,"This article describes the design and implementation of named and default arguments in the Scala programming language. While these features are available in many other languages there are significant differences in the actual implementations. We present ... Keywords: default arguments, named arguments, scala",SAC '10: Proceedings of the 2010 ACM Symposium on Applied Computing,clojure,http://dl.acm.org/ft_gateway.cfm?id=1774529&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
09-Rose-Bytecodes,2009,John R. Rose,Bytecodes meet combinators: invokedynamic on the JVM,"The Java Virtual Machine (JVM) has been widely adopted in part because of its classfile format, which is portable, compact, modular, verifiable, and reasonably easy to work with. However, it was designed for just one language---Java---and so when it ... Keywords: bytecode, combinator, dynamic compilation, invokedynamic, method invocation",VMIL '09: Proceedings of the Third Workshop on Virtual Machines and Intermediate Languages,clojure,http://dl.acm.org/ft_gateway.cfm?id=1711508&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
10-Brown-Strategies,2010,"Richard Brown, Elizabeth Shoop, Joel Adams, Curtis Clifton, Mark Gardner, Michael Haupt, Peter Hinsbeeck",Strategies for preparing computer science students for the multicore world,"Multicore computers have become standard, and the number of cores per computer is rising rapidly. How does the new demand for understanding of parallel computing impact computer science education? In this paper, we examine several aspects of this question: ... Keywords: multi-core computing, parallelism",ITiCSE-WGR '10: Proceedings of the 2010 ITiCSE working group reports,clojure,http://dl.acm.org/ft_gateway.cfm?id=1971689&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
10-Yamamiya-Tamacola,2010,"Takashi Yamamiya, Yoshiki Ohshima",Tamacola --- a meta language kit for the web: a report on creating a self-hosting lisp compiler on the Tamarin VM,"Tamacola is a dynamic, self-sustaining meta-language system grounded upon the Tamarin VM. Tamacola compiles a Scheme-like S-expression language into ActionScript bytecodes, and contains meta-linguistic features, such as a PEG parser generator and macro ... Keywords: Adobe Flash, compiler, self hosting",S3 '10: Workshop on Self-Sustaining Systems,clojure,http://dl.acm.org/ft_gateway.cfm?id=1942799&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
11-Nyblom-Erlang,2011,Patrik Nyblom,Erlang ETS tables and software transactional memory: how transactions make ETS tables more like ordinary actors,"This article describes a way to make the ETS tables of Erlang fit better into the actor programming model. Enhancing the interface of the ETS tables with a concept of transactions is suggested as a means both to achieve increased parallelism, better ... Keywords: erlang, transactional memory, transactions",Erlang '11: Proceedings of the 10th ACM SIGPLAN workshop on Erlang,clojure,http://dl.acm.org/ft_gateway.cfm?id=2034658&type=mp4&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
"13-Ponge-Golo,",2013,"Julien Ponge, Frédéric Le Mouël, Nicolas Stouls","Golo, a dynamic, light and efficient language for post-invokedynamic JVM","This paper introduces Golo, a simple dynamic programming language for the Java Virtual Machine (JVM) that has been designed to leverage the capabilities of the new Java 7 invokedynamic instruction and API (JSR 292). Golo has its own language constructs ... Keywords: Golo, JVM, Java, invokedynamic","PPPJ '13: Proceedings of the 2013 International Conference on Principles and Practices of Programming on the Java Platform: Virtual Machines, Languages, and Tools",clojure,http://dl.acm.org/ft_gateway.cfm?id=2500844&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
13-McCabe-Feel,2013,"Frank McCabe, Michael Sperber",Feel different on the Java platform: the star programming language,"Star is a functional, multi-paradigm and extensible programming language that runs on the Java platform. Starview Inc. developed the language as an integral part of the Starview Enterprise Platform, a framework for real-time business applications ... Keywords: actors, compilation, functional programming, multiparadigm programming","PPPJ '13: Proceedings of the 2013 International Conference on Principles and Practices of Programming on the Java Platform: Virtual Machines, Languages, and Tools",clojure,http://dl.acm.org/ft_gateway.cfm?id=2500837&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
09-Costanza-Context-oriented,2009,"Pascal Costanza, Charlotte Herzeel, Theo D'Hondt",Context-oriented software transactional memory in common lisp,"Software transactional memory (STM) is a promising approach for coordinating concurrent threads, for which many implementation strategies are currently being researched. Although some first steps exist to ease experimenting with different strategies, ... Keywords: context-oriented programming, framework design, software transactional memory",DLS '09: Proceedings of the 5th symposium on Dynamic languages,clojure,http://dl.acm.org/ft_gateway.cfm?id=1640144&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
09-Bloom-Thorn:,2009,"Bard Bloom, John Field, Nathaniel Nystrom, Johan Östlund, Gregor Richards, Rok Strniša, Jan Vitek, Tobias Wrigstad","Thorn: robust, concurrent, extensible scripting on the JVM","Scripting languages enjoy great popularity due to their support for rapid and exploratory development. They typically have lightweight syntax, weak data privacy, dynamic typing, powerful aggregate data types, and allow execution of the completed parts ... Keywords: actors, pattern matching, scripting",OOPSLA '09: Proceeding of the 24th ACM SIGPLAN conference on Object oriented programming systems languages and applications,clojure,http://dl.acm.org/ft_gateway.cfm?id=1640098&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
10-Kaewkasi-Towards,2010,Chanwit Kaewkasi,Towards performance measurements for the Java Virtual Machine's invokedynamic,"This paper presents a study of a Java Virtual Machine prototype from the Da Vinci Machine project, defined by JSR 292. It describes binary translation techniques to prepare benchmarks to run on the invokedynamic mode of the prototype, resulting in the ... Keywords: benchmarks, bytecode, invokedynamic, method invocation",VMIL '10: Virtual Machines and Intermediate Languages,clojure,http://dl.acm.org/ft_gateway.cfm?id=1941057&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
11-Frantz-Augmenting,2011,"Christopher Frantz, Mariusz Nowostawski, Martin K. Purvis",Augmenting android with AOSE principles for enhanced functionality reuse in mobile applications,"The Android platform has popularized and caused a widespread adoption of its application development approach based on loosely coupled application components. This loose coupling allows for a flexible composition of applications but also enables invocations ... Keywords: µ-agents, MOA, agent organisation, agent-oriented software engineering, android, functionality reuse, intents, micro-agents, mobile applications, multi-agent systems",AAMAS'11: Proceedings of the 10th international conference on Advanced Agent Technology,clojure,http://dl.acm.org/ft_gateway.cfm?id=2183440&type=external&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
10-Pestov-Factor:,2010,"Sviatoslav Pestov, Daniel Ehrenberg, Joe Groff",Factor: a dynamic stack-based programming language,"Factor is a new dynamic object-oriented programming language. It began as an embedded scripting language and evolved to a mature application development language. The language has a simple execution model and is based on the manipulation of data on a ... Keywords: dynamic languages, factor, stack-based languages",DLS '10: Proceedings of the 6th symposium on Dynamic languages,clojure,http://dl.acm.org/ft_gateway.cfm?id=1869637&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
11-Marr-Which,2011,"Stefan Marr, Mattias De Wael, Michael Haupt, Theo D'Hondt",Which problems does a multi-language virtual machine need to solve in the multicore/manycore era?,"While parallel programming for very regular problems has been used in the scientific community by non-computer-scientists successfully for a few decades now, concurrent programming and solving irregular problems remains hard. Furthermore, we shift from ... Keywords: concurrency, manycore, multi-language virtual machines, multicore, programming models, requirements","SPLASH '11 Workshops: Proceedings of the compilation of the co-located workshops on DSM'11, TMC'11, AGERE!'11, AOOPES'11, NEAT'11, & VMIL'11",clojure,http://dl.acm.org/ft_gateway.cfm?id=2095104&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
"11-Pye-Locks,",2011,Ian Pye,"Locks, deadlocks and abstractions: experiences with multi-threaded programming at CloudFlare, Inc.","Keywords: concurrent structures, experience reports","SPLASH '11 Workshops: Proceedings of the compilation of the co-located workshops on DSM'11, TMC'11, AGERE!'11, AOOPES'11, NEAT'11, & VMIL'11",clojure,http://dl.acm.org/ft_gateway.cfm?id=2095073&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
11-Chew-MusEEGk:,2011,"Yee Chieh (Denise) Chew, Eric Caspary",MusEEGk: design of a BCMI,"We present a novel integration of a brain-computer interface (BCI) with a music step sequencer. Previous BCIs that utilize EEG data to form music provide users little control over the final composition or do not provide enough feedback. Our interface ... Keywords: brain-computer interface, music composition, p300 Evoked Potential,",C&C '11: Proceedings of the 8th ACM conference on Creativity and cognition,clojure,http://dl.acm.org/ft_gateway.cfm?id=2069679&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
10-Noël-Extensible,2010,Cyprien Noël,Extensible software transactional memory,"XSTM is a software transactional memory that can be extended by pluggable components. Extensions can access transactions read and write sets through an API, and process them e.g., for logging, change notification, state persistence or replication. This ... Keywords: composability, concurrent programming, object replication, software architecture, synchronization, transactional memory",C3S2E '10: Proceedings of the Third C* Conference on Computer Science and Software Engineering,clojure,http://dl.acm.org/ft_gateway.cfm?id=1822331&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
11-Ricci-Designing,2011,"Alessandro Ricci, Andrea Santi",Designing a general-purpose programming language based on agent-oriented abstractions: the simpAL project,"The fundamental turn of software toward concurrency, decentralization, distribution, interaction calls for conceptually extending or evolving mainstream programming paradigms with proper high-level features to tackle these aspects. To this purpose, in ... Keywords: actors, agent-oriented programming","SPLASH '11 Workshops: Proceedings of the compilation of the co-located workshops on DSM'11, TMC'11, AGERE!'11, AOOPES'11, NEAT'11, & VMIL'11",clojure,http://dl.acm.org/ft_gateway.cfm?id=2095078&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
10-Eide-PLOS,2010,"Eric Eide, Gilles Muller, Olaf Spinczyk",PLOS 2009: fifth workshop on programming languages and operating systems,"This report summarizes the Fifth Workshop on Programming Languages and Operating Systems (PLOS 2009), which was held in conjunction with the SOSP 2009 conference. This report presents the motivation for holding the workshop and summarizes the workshop ...","SIGOPS Operating Systems Review , Volume 43 Issue 4",clojure,http://dl.acm.org/ft_gateway.cfm?id=1713262&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
11-Ahmad-The,2011,"Salman Ahmad, Alexis Battle, Zahan Malkani, Sepander Kamvar",The jabberwocky programming environment for structured social computing,"We present Jabberwocky, a social computing stack that consists of three components: a human and machine resource management system called Dormouse, a parallel programming framework for human and machine computation called ManReduce, and a high-level ... Keywords: crowdsourcing, social computing",UIST '11: Proceedings of the 24th annual ACM symposium on User interface software and technology,clojure,http://dl.acm.org/ft_gateway.cfm?id=2047203&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
13-Stadler-An,2013,"Lukas Stadler, Gilles Duboscq, Hanspeter Mössenböck, Thomas Würthinger, Doug Simon",An experimental study of the influence of dynamic compiler optimizations on Scala performance,"Java Virtual Machines are optimized for performing well on traditional Java benchmarks, which consist almost exclusively of code generated by the Java source compiler (javac). Code generated by compilers for other languages has not received nearly as ... Keywords: Scala, compiler, dynamic compiler, optimization, virtual machine",SCALA '13: Proceedings of the 4th Workshop on Scala,clojure,http://dl.acm.org/ft_gateway.cfm?id=2489846&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
10-Terei-An,2010,"David A. Terei, Manuel M.T. Chakravarty",An llVM backend for GHC,"In the presence of ever-changing computer architectures, high-quality optimising compiler backends are moving targets that require specialist knowledge and sophisticated algorithms. In this paper, we explore a new backend for the Glasgow Haskell Compiler ... Keywords: backend, ghc, llvm",Haskell '10: Proceedings of the third ACM Haskell symposium on Haskell,clojure,http://dl.acm.org/ft_gateway.cfm?id=1863538&type=mov&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
13-Martinez-Just,2013,"Bruno Martinez, Marcos Viera, Alberto Pardo",Just do it while compiling!: fast extensible records in haskell,"The library for strongly typed heterogeneous collections HList provides an implementation of extensible records in Haskell that needs only a few common extensions of the language. In HList, records are represented as linked lists of label-value pairs ... Keywords: balanced trees, extensible records, haskell, hlist, staged computation, type-level programming",PEPM '13: Proceedings of the ACM SIGPLAN 2013 workshop on Partial evaluation and program manipulation,clojure,http://dl.acm.org/ft_gateway.cfm?id=2426908&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
13-Merrifield-Conversion:,2013,"Timothy Merrifield, Jakob Eriksson",Conversion: multi-version concurrency control for main memory segments,"We present Conversion, a multi-version concurrency control system for main memory segments. Like the familiar Subversion version control system for files, Conversion provides isolation between processes that each operate on their own working ...",EuroSys '13: Proceedings of the 8th ACM European Conference on Computer Systems,clojure,http://dl.acm.org/ft_gateway.cfm?id=2465365&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
09-Clarke-A,2009,"Dave Clarke, Ilya Sergey",A semantics for context-oriented programming with layers,"Context-oriented programming (COP) is a new programming approach whereby the context in which expressions evaluate can be adapted as a program runs. COP provides a degree of flexibility beyond object-oriented programming, while arguably retaining more ...",COP '09: International Workshop on Context-Oriented Programming,clojure,http://dl.acm.org/ft_gateway.cfm?id=1562122&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
12-Koster-Domains:,2012,"Joeri De Koster, Tom Van Cutsem, Theo D'Hondt",Domains: safe sharing among actors,"The actor model has already proven itself as an interesting concurrency model that avoids issues such as deadlocks and race conditions by construction, and thus facilitates concurrent programming. While it has mainly been used in a distributed context ... Keywords: actor model, synchronization","AGERE! '12: Proceedings of the 2nd edition on Programming systems, languages and applications based on actors, agents, and decentralized control abstractions",clojure,http://dl.acm.org/ft_gateway.cfm?id=2414644&type=pdf&coll=DL&dl=ACM&CFID=399869229&CFTOKEN=28751441,,
