id,year,author,title,abstract,library,search_term,url
10-Kułakowski-cljRobust,2010,Konrad Kułakowski,cljRobust - Clojure Programming API for Lego Mindstorms NXT,"This paper presents the cljRobust - middleware library, which allows an intelligent control application to be written for Lego Mindstorms NXT. cljRobust is based on Clojure, which is a modern, concurrent dialect of the Lisp language. It shortens the distance between deliberative, symbolic processing and hardware. In this way, cljRobust facilitates the writing of control algorithms which operate close to the hardware layer, and thus are able to quickly respond to changes in the environment. Since Lego robots have been adopted by many leading academic centers all over the world as a standard tool for teaching robotics, the author hopes the cljRobust library may also be found as an interesting teaching aid in AI robotics.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-13541-5_6
12-Menarini-Dynamic,2012,Ingolf KrügerBarry DemchakMassimiliano Menarini,Dynamic Service Composition and Deployment with OpenRichServices,"We present OpenRichServices (ORS) as an Architecture Definition Language (ADL) for the compositional specification, deployment, and reconfiguration of systems of services. Key distinguishing features of ORS are its treatment of services as first-class citizens of the language, a clean separation between application and infrastructure flows to address cross-cutting concerns at the architectural level, and dynamic service binding to facilitate service instantiation, distributed deployment and reconfiguration. ORS specifications are executable – they can be deployed together with an ORS runtime system, and then coordinate the interactions between subsystems. To evaluate ORS, we developed an implementation of our ADL as a Domain Specific Language (DSL) using the JVM-based Clojure programming language; this allows us to leverage Clojure’s lock-free concurrency, high-performance immutable data structures, and dynamic binding capabilities. We compare the ORS ADL and its capabilities with Darwin, Wright, Rapide and SADL using a case study drawn from a mobile sensing platform.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-30835-2_9
11-Pergl-Modelling,2011,Robert Pergl,Modelling and Prototyping of Business Applications Based on Multilevel Domain-Specific Language,"An effective approach to modelling and prototyping of business applications is presented in this paper. The approach is based on three concepts: The concept of data structure abstraction, the concept of a behavioural model based on the dynamic functional approach and a design approach based on creating multiple levels of a domain-specific language. The characteristics of each concept are presented. A technique how to combine them together to create highly detailed descriptive models that may be easily turned to prototypes is shown and demonstrated. Limitations are formulated and benefits over the object-oriented approach are discussed, as well.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-24175-8_13
13-Horn-Model,2013,Tassilo Horn,Model Querying with FunnyQT,"FunnyQT is a new model querying and transformation approach. It is designed as an extensible API in the functional, JVM-based Lisp dialect Clojure. FunnyQT targets the modeling frameworks JGraLab and EMF, and it is extensible to other frameworks as well. Its querying parts are already stable while its transformation parts are still in early stages of development, so this paper focuses on the former.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-38883-5_7
12-Hotz-Verwendung,2012,Christian BetzLothar Hotz,Verwendung von Lisp in KI-Projekten,"In diesem Beitrag werden anhand von anwendungsorientierten Forschungsprototypen aus den Bereichen Konfigurierung, Diagnose und Szeneninterpretation wesentliche Lisp-Merkmale vorgestellt. Weiterhin wird ausgehend von den gemachten Erfahrungen eine Brücke zu aktuellen Entwicklungen aus dem Bereich der funktionalen Programmiersprachen geschlagen.",springer,clojure,http://link.springer.com/article/10.1007/s13218-011-0150-7
13-Rybola-Towards,2013,Robert PerglTiago Prince SalesZdeněk Rybola,Towards OntoUML for Software Engineering: From Domain Ontology to Implementation Model,"OntoUML is a promising method for ontological modelling. In this paper, we discuss its possible use for software engineering. We propose a method of transformation of an ontological model into a software-engineering object-oriented class model in UML and its instantiation. Our approach is based on the following best practices: pure object-oriented paradigm and approach of dividing state and identity as introduced in the Clojure programming language.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-41366-7_21
12-D’Hondt-Identifying,2012,Stefan MarrTheo D’Hondt,Identifying a Unifying Mechanism for the Implementation of Concurrency Abstractions on Multi-language Virtual Machines,"Supporting all known abstractions for concurrent and parallel programming in a virtual machines (VM) is a futile undertaking, but it is required to give programmers appropriate tools and performance. Instead of supporting all abstractions directly, VMs need a unifying mechanism similar to INVOKEDYNAMIC for JVMs.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-30561-0_13
10-Matyasik-RobustHX,2010,Konrad KułakowskiPiotr Matyasik,RobustHX - The Robust Middleware Library for Hexor Robots,"This paper presents RobustHX - an extension of the Robust middleware library, which allows the six-legged Hexor robot to be programmed in Java. Like Lego Mindstorms NXT robots, Hexor has been adopted by many academic centers in Poland as a tool for teaching AI robotics. For this reason, the authors hope that RobustHX may also be found as an interesting teaching aid allowing basic robotic experiments to be carried out.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-17319-6_24
12-Szmuc-Modeling,2012,Konrad KułakowskiTomasz Szmuc,Modeling Robot Behavior with CCL,"This paper presents the use of a Concurrent Communicating Lists (CCL) library in robot behavior modeling. CCL provides several software components, which allow the model to be built, simulated and formally verified. Due to the integration with the Robust library the CCL models can be deployed and executed on the actual hardware platforms. Besides the modeling robot behavior, the work also addresses the problem of modeling a robots environment.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-34327-8_7
10-Poetzsch-Heffter-JCoBox:,2010,Jan SchäferArnd Poetzsch-Heffter,JCoBox: Generalizing Active Objects to Concurrent Components,"Concurrency in object-oriented languages is still waiting for a satisfactory solution. For many application areas, standard mechanisms like threads and locks are too low level and have shown to be error-prone and not modular enough. Lately the actor paradigm has regained attention as a possible solution to concurrency in OOLs.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-14107-2_13
